"","created_at","id","full_text","source","coordinates","retweet_count","favorite_count","lang","name","screen_name","location","url","description","followers_count","friends_count","listed_count","favourites_count","statuses_count"
"1","2023-04-03 02:50:24","1642570185889439744","Noel Van T End with this absolute BANGER 30 seconds into the final! 💥

He takes his second grand slam gold of the year! Will he carry this momentum to #JudoWorlds? 🇳🇱🥋🥇

#Judo #JudoAntalya #Türkiye #WJT #RoadToParis2024 #OlympicQualifier https://t.co/TOKhCT4RlG","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","list(long = NA, lat = NA, type = NA)","41","281","en","Judo","Judo","Worldwide","https://t.co/AdAUBKLTeD","Official Twitter Account of the International Judo Federation🥋

https://t.co/nKLPYs31Qr

Download our IJF JUDO App at the link above!","87057","942","604","8745","19493"
"2","2023-04-02 22:49:13","1642509490355355648","Of COURSE we’d choose this song

@ShadyElNAHAS  🇨🇦

#Judo #JudoAntalya #Türkiye #WJT #RoadToParis2024 #OlympicQualifier https://t.co/b6VdVesfPD","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","list(long = NA, lat = NA, type = NA)","36","259","en","Judo","Judo","Worldwide","https://t.co/AdAUBKLTeD","Official Twitter Account of the International Judo Federation🥋

https://t.co/nKLPYs31Qr

Download our IJF JUDO App at the link above!","87057","942","604","8745","19493"
"3","2023-04-02 19:09:10","1642454111772704768","Dicko switches direction! 🎛️🆙

@romane_dicko  🇫🇷

#Judo #JudoAntalya #Türkiye #WJT #RoadToParis2024 #OlympicQualifier @francejudo https://t.co/wcAxvmccM0","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","list(long = NA, lat = NA, type = NA)","17","124","en","Judo","Judo","Worldwide","https://t.co/AdAUBKLTeD","Official Twitter Account of the International Judo Federation🥋

https://t.co/nKLPYs31Qr

Download our IJF JUDO App at the link above!","87057","942","604","8745","19493"
"4","2023-04-04 07:21:43","1643000851319910400","A delegação amazonense no torneio faturou o total de 36 medalhas na competição. Sete atletas foram contemplados com passagens aéreas pela Prefeitura

🥋🎖️🛫

#BrasileiroDeJudôRegiãoI
#Judô
#ManausOlímpica
#PrefeituraDeManaus
#EsporteManausÉdiferente

https://t.co/OTKCy6hbLo","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","list(long = NA, lat = NA, type = NA)","0","0","pt","Esporte Manaus","esportemanaus","Manaus, Amazonas ","https://t.co/c1CYjaXhI0","🏅 Esporte Manaus é diferente! |📱Siga-nos nas outras redes sociais | 🖥 Acesse o nosso portal","1400","220","14","359","5269"
"5","2023-04-04 06:55:26","1642994238286893056","¡¡ I M P R E S I O N A N T E !!  

Medallero Final: 

10🥇 // 3🥈 // 8🥉

4 judocas DIRECTOS 

🔜 Campeonato de España Escolar 2023

📅 29 y 30 de abril 
📌 CDM Gallur 

#judo #judoakari #judolasnieves #lasnieves_akari #somosjudoakarilasnieves https://t.co/aiMVnEvGwx","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","list(long = NA, lat = NA, type = NA)","3","4","es","Club Deportivo Judo Club Akari","ClubAkari","Gran Canaria","https://t.co/XNFhzVVBcy","Club Deportivo de Judo #judoakari","159","368","1","560","476"
"6","2023-04-04 06:24:46","1642986521077719040","Yes ! Et on continue avec les championnats de France @FSGTofficiel de #judo organisés dans le magnifique complexe sportif Alice Milliat de @93Romainville ! Merci @DechyFrancois pour ton accueil, soutien et aide apportée à l'organisation
@seinesaintdenis @inssd93 #SOP2023 https://t.co/p7QlvKvCM0","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","list(long = NA, lat = NA, type = NA)","1","2","fr","Clément Rémond","ClemRem","Paris","https://t.co/Y6IDbakCb3","Coprésident #FSGT93 •
CEO La Coloc' de l'Ourcq •
STAPS Besac • Handballeur •
#sport #seinesaintdenis","1495","1529","32","28269","14951"
"7","2023-04-04 06:21:58","1642985814870339584","🥋🇧🇷@Rafaelasilvaa no topo do MUNDO.

Bicampeã mundial e campeã olímpica, Rafaela foi a 5.833 pontos com o título em Antália, subindo duas posições no ranking para assumir a liderança da categoria até 57kg, que pertencia à canadense Jessica Klimkait, agora n° 3 do mundo. #Judo https://t.co/obg6Ebpoos","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","list(long = NA, lat = NA, type = NA)","1","2","pt","Seu Esporte","SeuEsporteBR","Brasil ","https://t.co/QrMubSl0y9","Projeto de valorização ao Esporte Brasileiro. Valorizando o que não é valorizado porque #OEsporteNosMove.","10489","869","100","13737","67405"
"8","2023-04-04 06:20:02","1642985328460939264","The Sambo Encyclopedia: Comprehensive Throws, Holds, and Submission Techniques by Steve Scott
Developed in the Soviet Union and based on Kodokan Judo and wrestling, sambo emphasizes utility over aesthetics
https://t.co/F7rNZzVjMq
#judo #sambo #wrestling #grappling #groundwork https://t.co/pefi4bilJg","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","list(long = NA, lat = NA, type = NA)","0","0","en","YMAA Publication Center ®","ymaadotcom","New England, USA","http://t.co/7F051x1cFv","YMAA_com - Schools & Publishing. Yang's Martial Arts Association, Authors & Teachers of martial arts, qigong and healing.","4062","623","89","130","7858"
"9","2023-04-04 05:24:11","1642971274573131776","@burrowingbolt @BritishJudo If it wasn’t it should be now. Very impressive 😂😂😂#Newfoundland #Judo
#DogsOfTwitter #dogsoftwitter","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","list(long = NA, lat = NA, type = NA)","0","1","en","Annie F R & Phoebe 🌈🇸🇬🇮🇹","38Octavian","Verona Italia, Brighton UK, ",,"Phoebe 🌈🪷 4-07-22 💔🌈","624","1722","6","92630","19073"
"10","2023-04-04 05:21:24","1642970575298600960","Not sure if this is an approved @BritishJudo move ??? #dogsoftwitter #DogsofTwittter #BFFs #bottomsup  #Newfoundland #Judo https://t.co/dQC1EsiGoW","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","list(long = NA, lat = NA, type = NA)","2","27","en","Hack Back CIC","burrowingbolt","North West, UK","https://t.co/S5J7lGmCZF","Owl Therapy🤔 - innovative programmes #autism #ADHD #mentalhealth through interaction with 🦉🦅 🐶#animalassistedtherapy #researcher #trainer","14224","14938","121","83597","28575"
